utt_id,measure,kind,v1,v2,delta,pct_change,sign_changed,changed
s01_C_creak_D007,h1s_h2s_db_mean,numeric,-0.086540068,1.0526515036540425,1.1391915716540424,1316.3747128717791,True,True
s01_C_creak_D009,h1_h2_db_mean,numeric,0.395991782,-4.529495454209389,-4.925487236209389,-1243.8357208658913,True,True
s01_C_creak_D009,h1_a3_db_mean,numeric,4.886019880276265,-0.7954361859115053,-5.681456066187771,-116.27983932530643,True,True
s01_C_creak_D020,h1_h2_db_mean,numeric,-1.588997003,0.8708611796480632,2.4598581826480634,154.80571568126885,True,True
s01_C_creak_D020,h1s_h2s_db_mean,numeric,-2.39621082,0.2790316661861816,2.6752424861861814,111.6447043748088,True,True
s01_C_creak_D021,h1_h2_db_mean,numeric,-0.442863866,0.08343619457009233,0.5263000605700923,118.84014501424514,True,True
s01_C_creak_D024,h1_h2_db_mean,numeric,-1.909132072,0.05134221395870142,1.9604742859587014,102.68929607918196,True,True
s01_C_creak_D029,h1_a3_db_mean,numeric,3.3661205420727356,-0.6343270790506867,-4.000447621123422,-118.8444552452091,True,True
s01_C_creak_D034,h1_h2_db_mean,numeric,0.1684039145335703,-0.2972379302253074,-0.4656418447588777,-276.50298156582033,True,True
s01_C_creak_F004,h1s_h2s_db_mean,numeric,11.43175885817897,-1.2216068270348828,-12.653365685213853,-110.68607938804509,True,True
s01_C_creak_F008,h1_a3_db_mean,numeric,2.9261784838464244,-7.071683957378861,-9.997862441225285,-341.66960410710226,True,True
s01_C_creak_F019,h1_h2_db_mean,numeric,4.926761532493181,-3.9588517317569796,-8.88561326425016,-180.35403592496607,True,True
s01_C_creak_F019,h1s_h2s_db_mean,numeric,10.284947960327205,-7.724781347479826,-18.00972930780703,-175.10763668690524,True,True
s02_B_natural_C007,h1_a3_db_mean,numeric,0.6823745878320722,-5.699633155367913,-6.382007743199985,-935.2645683180914,True,True
s02_B_natural_C011,h1_a3_db_mean,numeric,-1.911541677,5.081228831858034,6.992770508858034,365.8183649876044,True,True
s02_B_natural_D019,h1_a3_db_mean,numeric,2.6703927294841305,-12.35562502378832,-15.026017753272452,-562.689434680089,True,True
s02_B_natural_D031,h1_a3_db_mean,numeric,2.0571892596532795,-1.5188297522515466,-3.576019011904826,-173.83033647120692,True,True
s02_B_natural_F002,h1_a3_db_mean,numeric,-3.630949657,1.3521662253078475,4.983115882307848,137.24001578212594,True,True
s02_B_natural_F010,h1_a3_db_mean,numeric,-0.894449885,0.46806481641111236,1.3625147014111123,152.32990961937597,True,True
s02_C_creak_C003,h1_h2_db_mean,numeric,22.018912757055737,-9.704225504159778,-31.723138261215517,-144.07222832131055,True,True
s02_C_creak_C003,h1s_h2s_db_mean,numeric,40.35990384778442,-10.140257819197409,-50.50016166698183,-125.1245836893986,True,True
s02_C_creak_C020,h1_a3_db_mean,numeric,2.0952839228226203,-1.0800694029668811,-3.1753533257895015,-151.54763949660278,True,True
s02_C_creak_C030,h1_h2_db_mean,numeric,16.150197499422134,-4.720916417592692,-20.871113917014824,-129.23132313249798,True,True
s02_C_creak_C030,h1s_h2s_db_mean,numeric,31.234228395076396,-5.031049256147691,-36.26527765122409,-116.10748692911767,True,True
s02_C_creak_C030,h1_a3_db_mean,numeric,10.811791353225196,-11.038537756988534,-21.85032911021373,-202.097214017136,True,True
s02_C_creak_C032,h1_h2_db_mean,numeric,3.830525084245475,-10.554284636889186,-14.384809721134662,-375.5310148025864,True,True
s02_C_creak_C032,h1s_h2s_db_mean,numeric,8.476930240120623,-10.988349063334809,-19.465279303455432,-229.62651280681587,True,True
s02_C_creak_C038,h1_a3_db_mean,numeric,-0.85700643,6.377803856807443,7.234810286807443,844.1955665148793,True,True
s02_C_creak_D009,h1_h2_db_mean,numeric,-4.612450441,6.4752660385208465,11.087716479520846,240.3866799513401,True,True
s02_C_creak_D009,h1s_h2s_db_mean,numeric,-5.153120625,9.309727797535185,14.462848422535185,280.6619420544844,True,True
s02_C_creak_D019,h1_h2_db_mean,numeric,3.062657198638154,-8.77792436905905,-11.840581567697205,-386.61139003615085,True,True
s02_C_creak_D019,h1s_h2s_db_mean,numeric,11.221183896522492,-9.487044917657215,-20.708228814179705,-184.54584654474206,True,True
s02_C_creak_D020,h1_a3_db_mean,numeric,8.815746190578961,-1.5142657266255242,-10.330011917204486,-117.17682988926971,True,True
s02_C_creak_D021,h1_h2_db_mean,numeric,1.517209827822055,-10.527150598713881,-12.044360426535937,-793.849354629184,True,True
s02_C_creak_D021,h1s_h2s_db_mean,numeric,11.845668531663408,-11.5261134800406,-23.371782011704006,-197.30234683868926,True,True
s02_C_creak_D021,h1_a3_db_mean,numeric,4.092608321409089,-2.888147746311427,-6.980756067720516,-170.56985471106688,True,True
s02_C_creak_D027,h1_a3_db_mean,numeric,2.3441662766942435,-4.928110157941023,-7.272276434635266,-310.22869439495014,True,True
s02_C_creak_F010,h1_h2_db_mean,numeric,13.26990503656858,-2.502313982025356,-15.772219018593937,-118.85706020600446,True,True
s02_C_creak_F010,h1s_h2s_db_mean,numeric,27.133801636164417,-2.6825066228846453,-29.816308259049062,-109.88621741565822,True,True
s02_C_creak_F010,h1_a3_db_mean,numeric,13.988953181303563,-2.751181034911582,-16.740134216215147,-119.66681137076488,True,True
s02_C_creak_F013,h1s_h2s_db_mean,numeric,20.788183480232185,-2.7976238768474047,-23.585807357079588,-113.45776017181927,True,True
