session, pass     , item_id, position, start_sec           , end_sec, n_whisper_words_matched, match_ratio, flag
s01    , A_modal  , C021   ,       91, 286.32              ,  288.72,                       6,      1.0   , ok
s01    , A_modal  , C024   ,       92, 288.72              ,  291.5 ,                       4,      0.5714, low_confidence
s01    , A_modal  , D027   ,       93, 291.5               ,  294.58,                       8,      1.0   , ok
s01    , A_modal  , D004   ,       94, 294.58              ,  297.48,                       9,      1.0   , ok
s01    , A_modal  , D031   ,       95, 297.48              ,  301.28,                      10,      1.0   , ok
s01    , A_modal  , C005   ,       96, 301.28              ,  304.24,                       8,      1.0   , ok
s01    , A_modal  , C032   ,       97, 304.24              ,  307.06,                       7,      0.875 , ok
s01    , A_modal  , C007   ,       98, 307.06              ,  310.14,                       7,      1.0   , ok
s01    , A_modal  , D015   ,       99, 310.14              ,  312.94,                       8,      1.0   , ok
s01    , A_modal  , F012   ,      100, 312.94              ,  315.26,                       8,      0.8   , ok
s01    , B_natural, F016   ,        1,   5.539999999999999 ,    8.04,                       8,      1.0   , ok
s01    , B_natural, C019   ,        2,   8.04              ,   10.52,                       5,      0.8333, ok
s01    , B_natural, D002   ,        3,  10.9               ,   13.86,                       9,      1.0   , ok
s01    , B_natural, C022   ,        4,  13.86              ,   16.7 ,                       6,      1.0   , ok
s01    , B_natural, F011   ,        5,  17.66              ,   19.34,                       9,      0.9   , ok
s01    , B_natural, D027   ,        6,  19.34              ,   22.04,                       8,      1.0   , ok
s01    , B_natural, D028   ,        7,  22.04              ,   24.5 ,                       8,      1.0   , ok
s01    , B_natural, C038   ,        8,  24.5               ,   27.18,                       7,      1.0   , ok
s01    , B_natural, C004   ,        9,  27.18              ,   29.4 ,                       5,      0.8333, ok
s01    , B_natural, C020   ,       10,  29.4               ,   31.56,                       8,      1.0   , ok
s01    , B_natural, F023   ,       11,  31.56              ,   35.02,                      10,      1.0   , ok
s01    , B_natural, C008   ,       12,  35.02              ,   37.66,                       7,      1.0   , ok
s01    , B_natural, D016   ,       13,  37.66              ,   40.54,                       8,      1.0   , ok
s01    , B_natural, C018   ,       14,  40.54              ,   43.22,                       7,      1.0   , ok
s01    , B_natural, D021   ,       15,  43.22              ,   46.58,                      10,      1.0   , ok
s01    , B_natural, C010   ,       16,  47.34              ,   49.26,                       7,      1.0   , ok
s01    , B_natural, F024   ,       17,  49.26              ,   52.12,                       8,      1.0   , ok
s01    , B_natural, C028   ,       18,  52.12              ,   53.98,                       7,      1.0   , ok
s01    , B_natural, D006   ,       19,  53.98              ,   56.98,                       8,      1.0   , ok
s01    , B_natural, C009   ,       20,  56.98              ,   58.86,                       5,      1.0   , ok
s01    , B_natural, F006   ,       21,  58.86              ,   61.22,                       8,      1.0   , ok
s01    , B_natural, F014   ,       22,  61.22              ,   64.1 ,                      10,      1.0   , ok
s01    , B_natural, F012   ,       23,  64.1               ,   66.84,                       9,      0.9   , ok
s01    , B_natural, D014   ,       24,  66.84              ,   69.56,                       8,      1.0   , ok
s01    , B_natural, F007   ,       25,  69.56              ,   72.7 ,                       9,      1.0   , ok
s01    , B_natural, C011   ,       26,  72.7               ,   75.08,                       5,      1.0   , ok
s01    , B_natural, D019   ,       27,  75.88              ,   78.34,                       8,      1.0   , ok
s01    , B_natural, F022   ,       28,  78.34              ,   81.38,                      11,      1.0   , ok
s01    , B_natural, F021   ,       29,  81.38              ,   84.26,                      10,      1.0   , ok
s01    , B_natural, F010   ,       30,  84.26              ,   87.76,                      11,      1.0   , ok
s01    , B_natural, C040   ,       31,  87.76              ,   89.84,                       5,      0.8333, ok
s01    , B_natural, D023   ,       32,  89.84              ,   92.68,                       9,      1.0   , ok
s01    , B_natural, C031   ,       33,  92.68              ,   95.78,                       7,      1.0   , ok
s01    , B_natural, C013   ,       34,  95.78              ,   98.38,                       7,      1.0   , ok
s01    , B_natural, D029   ,       35,  98.38              ,  101.26,                       6,      1.0   , ok
s01    , B_natural, F020   ,       36, 101.26              ,  104.16,                      10,      1.0   , ok
s01    , B_natural, C033   ,       37, 104.16              ,  106.24,                       6,      1.0   , ok
s01    , B_natural, C037   ,       38, 106.24              ,  108.18,                       5,      1.0   , ok
s01    , B_natural, D004   ,       39, 108.18              ,  111.18,                       9,      1.0   , ok
s01    , B_natural, F015   ,       40, 111.18              ,  113.84,                       9,      1.0   , ok
s01    , B_natural, D031   ,       41, 114.48              ,  117.1 ,                      10,      1.0   , ok
s01    , B_natural, F002   ,       42, 117.1               ,  119.8 ,                       9,      1.0   , ok
s01    , B_natural, F004   ,       43, 120.42              ,  123.0 ,                      10,      1.0   , ok
s01    , B_natural, D020   ,       44, 123.0               ,  126.16,                       9,      1.0   , ok
s01    , B_natural, D012   ,       45, 126.78              ,  129.12,                       8,      0.8889, ok
s01    , B_natural, C032   ,       46, 129.12              ,  132.08,                       7,      0.875 , ok
s01    , B_natural, C036   ,       47, 132.67999999999998  ,  134.62,                       7,      1.0   , ok
s01    , B_natural, D024   ,       48, 134.62              ,  137.7 ,                       8,      1.0   , ok
s01    , B_natural, F003   ,       49, 137.7               ,  141.1 ,                      11,      1.0   , ok
s01    , B_natural, F005   ,       50, 141.1               ,  144.48,                       9,      1.0   , ok
s01    , B_natural, F001   ,       51, 145.29999999999998  ,  147.64,                       9,      1.0   , ok
s01    , B_natural, C035   ,       52, 147.64              ,  150.42,                       6,      1.0   , ok
